what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.moveLineDown",1329160459964
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.moveLineDown",1329160460120
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.moveLineDown",1329160460268
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.moveLineDown",1329160460443
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329160535844
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1329160537483
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329160537880
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329160540392
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1329160552256
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1329160553404
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329160558604
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1329160559676
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329160560045
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329160562487
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329160567714
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1329160567972
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329160568548
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329160570814
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329160571811
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329160850129
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329160870054
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1329160872011
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329160872388
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329160875013
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329160876498
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329160887117
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329160889168
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329160890086
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329160891058
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329161220247
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1329161225761
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329161226014
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1329161226039
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329161226638
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329161306773
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329161346891
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329164893144
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329164904967
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329164905981
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329164906896
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329164907628
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329164907997
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329164908806
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329164909705
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329164910904
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329164911789
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329164913473
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329164921319
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329166338237
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329166346196
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329166447444
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329166449469
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329166450353
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329166456639
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329166472334
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329166475301
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1329166475370
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329166475741
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329166478910
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329166478958
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329166486956
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329166519920
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329166546102
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329166597003
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329166615615
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329166857946
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329166888857
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329167417285
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329167434130
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1329167435976
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329167444705
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1329167497680
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329167498258
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1329167498767
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329167499041
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1329167499713
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329167500352
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329167502832
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1329167503440
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329167585646
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329167619500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329167639939
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329167646395
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329167648985
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329167694091
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1329167842047
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1329167846326
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1329167885721
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1329167885980
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329167886666
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1329167887258
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1329167888601
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329167891984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329167963686
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329167963908
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.navigate.opentype",1329167978596
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329167978671
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329167983612
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329168004590
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329168012301
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329168013454
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329168017112
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329168061955
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329168071878
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1329168075551
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1329168082117
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329168082345
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1329168082370
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329168083659
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329168090528
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329168093938
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1329168096272
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1329168102013
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329168103786
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1329168104654
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329168105015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329168106624
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1329168109064
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329168109459
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1329168109873
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1329168111077
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329168117030
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1329168117725
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329168118118
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329168120329
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1329168122202
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329168123358
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329168152267
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329168155134
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.text.rename.element",1329168164885
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329168164987
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329168185154
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.text.rename.element",1329168194590
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329168194707
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1329168200961
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1329168207194
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329168209297
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1329168210639
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329168211020
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329168213401
